firstn;lastn;address;phonen;email
suman;gautam;dhulikhel;9840522768;suman@gmail.com
suman;gautam;dhulikhel;9840522768;suman@gmail.com
sushan;gautam;dhulikhel;9840522768;sushan@gmail.com
bijay;gautam;dhulikhel;9840522768;bijay@gmail.com
bijay;gautam;panauti;9840522768;bijay@gmail.com
laxman;gautam;dhulikhel;9840522768;susmita@gmail.com
laxman;gautam;dhulikhel;9840522768;susmita@gmail.com
laxman;gautam;dhulikhel;9840522768;susmita@gmail.com
laxman;gautam;dhulikhel;9840522768;susmita@gmail.com
laxman;gautam;dhulikhel;9840522768;susmita@gmail.com
laxman;gautam;dhulikhel;9840522768;susmita@gmail.com
